568,-3098,4096
586,-3230,4213
620,-3368,4142
766,-3668,4385
894,-3934,4353
994,-4104,4270
1066,-4084,4349
1228,-4242,4299
1184,-4148,4071
1134,-4082,4031
984,-3810,3834
1012,-3836,3671
994,-3720,3451
1014,-3346,3188
1098,-3052,2872
1324,-2754,2535
1526,-2430,2268
1888,-2224,2126
2236,-1980,1911
2434,-2000,1829
2522,-1728,1869
2940,-1256,1954
2886,-1078,2029
2578,-1028,2146
2202,-1118,2382
2178,-912,2516
2154,-674,2577
1750,-660,2810
1360,-654,3386
1048,-838,3644
754,-1108,3838
522,-1616,3893
454,-1840,3935
414,-2042,3901
402,-2160,3992
450,-2228,3807
516,-2240,3695
572,-2154,3633
454,-2032,4015
404,-1768,4294
382,-1686,4793
402,-1916,5202
516,-2150,5638
650,-2288,6037
688,-2600,5939
608,-2842,5649
586,-2932,5519
590,-3100,5416
616,-3182,5171
562,-3204,4792
532,-3206,4590
610,-3202,4493
656,-3330,4352
724,-3472,4184
900,-3474,3918
870,-3386,3769
978,-3424,3592
1078,-3380,3386
1122,-2936,3114
1190,-2922,2951
1284,-2904,2814
1410,-2766,2744
1464,-2494,2590
1242,-2388,2822
892,-2380,3393
526,-2630,4047
488,-2942,4578
602,-3138,5201
718,-3326,5576
914,-3358,5945
1052,-3424,6133
1148,-3338,6291
1090,-3104,6487
1184,-2864,6630
1138,-2814,6651
1152,-2354,6765
1144,-1968,6741
1184,-1608,6711
1256,-1296,6590
1332,-1060,6516
1512,-802,6505
1756,-624,6591
2124,-598,6749
2568,-506,7007
3204,-522,6993
3836,-568,6994
4452,-772,6970
4810,-914,6805
5108,-958,6613
5306,-974,6386
5416,-980,6306
5548,-856,6025
5544,-1042,6166
5430,-1216,6343
5474,-1408,6389
5580,-1542,6430
5416,-1426,6503
5260,-1396,6661
5248,-1284,6598
5432,-1556,6535
5720,-1936,6307
5996,-2304,5972
5996,-2914,5876
5884,-3310,5818
5710,-3608,5831
5518,-4044,5720
5188,-4316,5731
4858,-4660,5609
4452,-4872,5498
4062,-4868,5912
3884,-4808,6350
3874,-4648,6441
3918,-4424,6647
3948,-4268,6842
3768,-4020,7088
3584,-3780,7304
3502,-3474,7477
3486,-3248,7443
3448,-3090,7533
3544,-3112,7591
3512,-3180,7600
3486,-3036,7622
3448,-2946,7573
3526,-2664,7606
3702,-2362,7664
3878,-2216,7687
3802,-1934,7605
3728,-1622,7649
3950,-1434,7418
4288,-1252,7361
4626,-1450,7210
4970,-1512,7102
5350,-1650,6801
5684,-1628,6393
5944,-1916,6082
5950,-2404,6020
5968,-2844,5860
5922,-3302,5508
5816,-3752,5135
5692,-4072,4844
5562,-4278,4609
5406,-4412,4431
5264,-4494,4376
5310,-4400,4204
5286,-4478,4029
5140,-4610,3921
4942,-4684,3627
4602,-4706,3355
4314,-4758,3269
4058,-4702,3046
3870,-4712,2884
3720,-4798,3098
3932,-4886,3185
3904,-4918,3336
3778,-4968,3416
3864,-5066,3688
4318,-4940,3807
4656,-4864,3954
4882,-4722,3735
5020,-4426,3408
5056,-4176,3143
5104,-4072,2994
5314,-3962,3190
5558,-3924,3373
5740,-3652,3523
6020,-3222,3780
6216,-2832,3928
6306,-2382,4059
6316,-1934,3975
6200,-1434,4091
6142,-1176,4268
6002,-892,4421
5806,-540,4544
5690,-362,4564
5766,-438,4542
5822,-548,4476
5934,-674,4247
6002,-1006,3922
6120,-1482,3732
6172,-1982,3573
6124,-2510,3542
6056,-2756,3499
6064,-2838,3586
6150,-3126,4003
6220,-3016,4636
6172,-2808,5320
5948,-2804,5877
5714,-2546,6268
5196,-2128,6805
4212,-1904,7320
3298,-1882,7471
2638,-1914,7430
1990,-2224,7171
1790,-2550,7059
1782,-2568,7027
1756,-2342,7177
1588,-2170,7047
1368,-2302,6932
1170,-2356,6735
826,-2410,6376
752,-2718,6309
908,-3300,6101
984,-3668,6006
1012,-3554,6017
956,-3512,6120
1134,-3430,6405
1390,-3404,6571
1392,-3312,6659
1426,-3248,6616
1568,-3590,6517
1958,-3504,6768
2212,-3214,7059
2578,-3336,7192
3064,-3376,7097
3466,-3316,7129
3580,-3270,7205
3496,-2938,7265
3188,-2958,7334
2750,-2670,7328
2376,-2478,7321
1978,-2422,7255
1494,-2328,6857
1184,-2270,6649
762,-2138,6236
474,-2198,5410
350,-2526,4548
508,-2916,3896
646,-3312,3831
638,-3522,3935
630,-3530,4144
734,-3600,3996
894,-3848,4055
946,-4016,4201
874,-4030,4627
844,-4002,4851
808,-3968,5061
796,-3894,5067
990,-4042,5353
1236,-4146,5747
1348,-4238,5868
1274,-4160,5826
1322,-4100,5865
1370,-4102,6030
1424,-4082,6052
1388,-3952,6092
1376,-3770,6272
1334,-3824,6179
1232,-3866,6051
1302,-3950,5899
1192,-4008,5768
1220,-4124,5485
1316,-4254,5493
1606,-4358,5725
1826,-4428,5762
1860,-4344,5961
1700,-4212,6190
1702,-3754,6592
1758,-3664,6720
1728,-3518,6688
1740,-3460,6837
1854,-3466,6924
2078,-3504,6945
